action_key,module,operation_type,risk_level,confirmation_tier,typed_confirmation_required,reason_code_required,allowed_role_now,future_role_boundary,audit_required,audit_payload_minimum,rollback_strategy,rollback_time_window,preflight_required,dependency_check_required,concurrency_check_required,idempotency_required,session_invalidation_required,ui_pattern,default_state_on_failure
waitlist_enrollment,Enrollment,Workflow Decision,High,Tier2,No,Yes,SUPERADMIN,Admissions + Registrar,Yes,"actor,entity,entity_id,status_from_to,reason_code,waitlist_rank,timestamp",Promote/reorder waitlist,N/A,Yes,Yes,Yes,Yes,No,Decision panel + confirm,Remain under review
promote_waitlist,Enrollment,Workflow Finalize,Critical,Tier2,No,Yes,SUPERADMIN,Registrar,Yes,"actor,entity,entity_id,status_from_to,reason_code,capacity_snapshot,timestamp",Demote next-in-line with audit,2h,Yes,Yes,Yes,Yes,No,Decision panel + confirm,No promotion
explicit_status_transition,Enrollment,Override,Critical,Tier3,Yes,Yes,SUPERADMIN,Registrar + Principal override,Yes,"actor,entity,entity_id,status_from_to,reason_code,override_note,timestamp",Compensating transition with dual approval,1h,Yes,Yes,Yes,Yes,No,Guarded override dialog,No transition
mark_requirement_verified,Requirements,Compliance,High,Tier1,No,Yes,SUPERADMIN,Compliance Officer,Yes,"actor,entity,entity_id,requirement_state,reason_code,timestamp",Set to Submitted/Rework,N/A,Yes,No,Yes,Yes,No,Inline checklist action,No state change
mark_requirement_rejected,Requirements,Compliance,High,Tier1,No,Yes,SUPERADMIN,Compliance Officer,Yes,"actor,entity,entity_id,requirement_state,reason_code,timestamp",Resubmission flow,N/A,Yes,No,Yes,Yes,No,Inline checklist action,No state change
archive_record,Archive Center,Destructive,Critical,Tier2,No,Yes,SUPERADMIN,Data Manager,Yes,"actor,entity,entity_id,reason_code,dependency_snapshot,timestamp",Restore action,30d,Yes,Yes,Yes,Yes,No,Guarded confirmation,No archive
restore_record,Archive Center,Recovery,Critical,Tier2,No,Yes,SUPERADMIN,Data Manager,Yes,"actor,entity,entity_id,reason_code,conflict_resolution,timestamp",Re-archive action,24h,Yes,Yes,Yes,Yes,No,Guarded confirmation,Remain archived
run_backup,Backup/Restore,Maintenance,High,Tier1,No,No,SUPERADMIN,Ops Admin,Yes,"actor,action,target_path,file_hash,size,timestamp,result",N/A,N/A,Yes,No,No,Yes,No,In-page action bar,No backup created
run_restore,Backup/Restore,Maintenance,Critical,Tier3,Yes,Yes,SUPERADMIN,Ops Admin + Principal approval,Yes,"actor,action,source_file,target_db,reason_code,preflight_snapshot,timestamp,result",Immediate restore retry not allowed; require fresh preflight,0h,Yes,Yes,No,Yes,Yes,Guarded restore wizard,No restore
execute_year_end_rollover,Year-End Rollover,Maintenance,Critical,Tier3,Yes,Yes,SUPERADMIN,Registrar + Principal approval,Yes,"actor,source_year,target_year,reason_code,impact_preview,timestamp,result",Transactional rollback automatic,Immediate,Yes,Yes,Yes,Yes,No,Guarded wizard execute,No rollover
close_school_year,School Years,Governance,High,Tier2,No,Yes,SUPERADMIN,Registrar,Yes,"actor,entity,entity_id,reason_code,timestamp",Reopen year by governed action,24h,Yes,Yes,Yes,Yes,No,Confirmation dialog,Year remains open
db_settings_update,DB Settings,Infrastructure,Critical,Tier3,Yes,Yes,SUPERADMIN,System Owner,Yes,"actor,environment,conn_target,reason_code,timestamp",Rollback to last known-good config,Immediate,Yes,No,No,Yes,Yes,Guarded dialog,Settings unchanged
logout,Session,Security,Low,Tier0,No,No,SUPERADMIN,Any role,Yes,"actor,timestamp,reason",None,N/A,No,No,No,No,No,Top-bar action,Session continues
session_timeout,Session,Security,Medium,Tier0,No,No,System,System,Yes,"actor/system,timestamp,reason",Re-login,N/A,No,No,No,No,Yes,System event,Forced logout
